Assignment,AttackType,MaliciousPct,Model,SuccessRate,FailureRate,Latency,MAR,ServiceDenialRate,ServiceDenialCount,Availability,PoolAvailability,HonestAvailability,TPR_gov,FPR_gov,FNR_gov,TNR_gov,Precision_gov,NPV_gov,F1_gov,TPR_sel,FPR_sel,FNR_sel,TNR_sel,Precision_sel,NPV_sel,F1_sel,PMTI,RepSep,SER_mal,EarlyMAR_100,PctGoodSel,PctWarningSel,PctServiceDenial,FailMalicious_Pct,FailHonest_Pct,UndetectedMaliciousRate,TPR,FPR,FNR,TNR,Precision,NPV,F1,FirstHalf_SR,FirstHalf_MAR,SecondHalf_SR,SecondHalf_MAR,SR_Drop,MAR_Drop,MalSelected_Phase1,MalSelected_Phase2,MalSelectRatio,InitialMAR_Phase2,FinalMAR_Phase2,MARImprovement,RunsToDetect,StalenessScore
moderate,always,10,Threshold-MaxRep,96.85279188,3.147208122,199.1056212,100,1.5,15,98.5,100,100,0,0,100,100,0,90,0,0,3.147208122,0,96.85279188,0,100,0,NaN,NaN,NaN,100,95.93908629,4.060913706,1.5,0,100,100,0,0,100,100,0,90,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
moderate,always,10,Threshold-NoTierSel,96.31525077,3.684749232,199.7572397,99.5,2.3,23,97.7,94.28571429,100,57.14285714,0,42.85714286,100,100,95.45454545,72.72727273,100,3.189300412,0,96.81069959,13.88888889,100,24.3902439,1.25,0.290831849,NaN,98,95.18935517,4.810644831,2.3,13.88888889,86.11111111,42.85714286,57.14285714,0,42.85714286,100,100,95.45454545,72.72727273,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
moderate,always,30,Beta,94.67084639,5.329153605,202.4983528,97,4.3,43,95.7,85.71428571,100,47.61904762,0,52.38095238,100,100,81.66666667,64.51612903,100,2.265372168,0,97.73462783,58.82352941,100,74.07407407,1,0.664358074,NaN,92,94.04388715,5.956112853,4.3,58.82352941,41.17647059,52.38095238,47.61904762,0,52.38095238,100,100,81.66666667,64.51612903,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
moderate,always,30,REVS-T,95.98662207,4.013377926,199.6420292,98.4,10.3,103,89.7,84.28571429,100,52.38095238,0,47.61904762,100,100,83.05084746,68.75,100,2.27014756,0,97.72985244,44.44444444,100,61.53846154,1.181818182,0.303654582,NaN,94,95.20624303,4.793756968,10.3,44.44444444,55.55555556,47.61904762,52.38095238,0,47.61904762,100,100,83.05084746,68.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
moderate,always,30,REVS-T-Uniform,94.21052632,5.789473684,203.1338382,96.6,5,50,95,85.71428571,100,47.61904762,0,52.38095238,100,100,81.66666667,64.51612903,100,2.292576419,0,97.70742358,61.81818182,100,76.40449438,2,0.182697543,NaN,88,84.73684211,15.26315789,5,61.81818182,38.18181818,52.38095238,47.61904762,0,52.38095238,100,100,81.66666667,64.51612903,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
moderate,always,30,Threshold,95.87973274,4.120267261,200.1216262,98.3,10.2,102,89.8,85.71428571,100,47.61904762,0,52.38095238,100,100,81.66666667,64.51612903,100,2.27014756,0,97.72985244,45.94594595,100,62.96296296,1.4,0.289409468,NaN,94,95.10022272,4.899777283,10.2,45.94594595,54.05405405,52.38095238,47.61904762,0,52.38095238,100,100,81.66666667,64.51612903,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
moderate,always,30,Threshold-MaxRep,94.56635319,5.433646813,202.459048,96.9,4.3,43,95.7,84.28571429,97.95918367,47.61904762,2.040816327,52.38095238,97.95918367,90.90909091,81.3559322,62.5,100,2.267818575,0,97.73218143,59.61538462,100,74.69879518,1.4,0.308994634,NaN,94,89.65517241,10.34482759,4.3,59.61538462,40.38461538,52.38095238,47.61904762,2.040816327,52.38095238,97.95918367,90.90909091,81.3559322,62.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
moderate,always,30,Threshold-NoTierSel,95.40358744,4.596412556,200.6630494,97.7,10.8,108,89.2,85.71428571,100,47.61904762,0,52.38095238,100,100,81.66666667,64.51612903,100,2.071346375,0,97.92865362,56.09756098,100,71.875,1.6,0.279873618,NaN,91,94.50672646,5.493273543,10.8,56.09756098,43.90243902,52.38095238,47.61904762,0,52.38095238,100,100,81.66666667,64.51612903,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
moderate,always,50,Beta,79.93311037,20.06688963,234.427875,84.9,10.3,103,89.7,75.71428571,94.28571429,42.85714286,5.714285714,57.14285714,94.28571429,88.23529412,62.26415094,57.69230769,100,3.887399464,0,96.11260054,83.88888889,100,91.23867069,1,0.733837145,NaN,79,80.26755853,19.73244147,10.3,83.88888889,16.11111111,57.14285714,42.85714286,5.714285714,57.14285714,94.28571429,88.23529412,62.26415094,57.69230769,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
moderate,always,50,REVS-T,91.86666667,8.133333333,206.7861099,96.7,25,250,75,78.57142857,100,42.85714286,0,57.14285714,100,100,63.63636364,60,100,3.905160391,0,96.09483961,54.09836066,100,70.21276596,1.4,0.226780783,NaN,80,92.93333333,7.066666667,25,54.09836066,45.90163934,57.14285714,42.85714286,0,57.14285714,100,100,63.63636364,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
