Assignment,AttackType,MaliciousPct,Model,Seed,SuccessRate,FailureRate,Latency,MAR,ServiceDenialRate,ServiceDenialCount,Availability,PoolAvailability,HonestAvailability,TPR_gov,FPR_gov,FNR_gov,TNR_gov,Precision_gov,NPV_gov,F1_gov,TPR_exp,MalExposureRate,NumMalExposed,NumMalBlacklistedExposed,TPR_sel,FPR_sel,FNR_sel,TNR_sel,Precision_sel,NPV_sel,F1_sel,PMTI,RepSep,RepSep_provider,SER_mal,EarlyMAR_100,PctGoodSel,PctWarningSel,PctServiceDenial,FailMalicious_Pct,FailHonest_Pct,UndetectedMaliciousRate,TPR,FPR,FNR,TNR,Precision,NPV,F1,FirstHalf_SR,FirstHalf_MAR,SecondHalf_SR,SecondHalf_MAR,SR_Drop,MAR_Drop,MalSelected_Phase1,MalSelected_Phase2,MalSelectRatio,InitialMAR_Phase2,FinalMAR_Phase2,MARImprovement,RunsToDetect,StalenessScore
moderate,always,0,RUST-NoDH,9,96.26639758,3.733602422,195.4442047,100,0.9,9,99.1,100,100,NaN,0,NaN,100,NaN,NaN,NaN,NaN,0,0,0,0,3.733602422,0,96.26639758,0,100,0,NaN,NaN,NaN,NaN,100,97.47729566,2.522704339,0.9,0,100,NaN,NaN,0,NaN,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
moderate,always,0,RUST-NoDH,10,96.77093845,3.229061554,195.9044049,100,0.9,9,99.1,98.57142857,98.57142857,NaN,1.428571429,NaN,98.57142857,NaN,NaN,NaN,NaN,0,0,0,0,3.229061554,0,96.77093845,0,100,0,NaN,NaN,NaN,NaN,100,97.98183653,2.018163471,0.9,0,100,NaN,NaN,1.428571429,NaN,98.57142857,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
moderate,always,0,RUST-NoRec,1,96.88128773,3.118712274,197.3145648,100,0.6,6,99.4,98.57142857,98.57142857,NaN,1.428571429,NaN,98.57142857,NaN,NaN,NaN,NaN,0,0,0,0,3.118712274,0,96.88128773,0,100,0,NaN,NaN,NaN,NaN,100,93.9637827,6.036217304,0.6,0,100,NaN,NaN,1.428571429,NaN,98.57142857,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
moderate,always,0,RUST-NoRec,2,95.9798995,4.020100503,195.1737846,100,0.5,5,99.5,100,100,NaN,0,NaN,100,NaN,NaN,NaN,NaN,0,0,0,0,4.020100503,0,95.9798995,0,100,0,NaN,NaN,NaN,NaN,100,88.74371859,11.25628141,0.5,0,100,NaN,NaN,0,NaN,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
moderate,always,0,RUST-NoRec,3,97.09127382,2.908726179,198.2159444,100,0.3,3,99.7,97.14285714,97.14285714,NaN,2.857142857,NaN,97.14285714,NaN,NaN,NaN,NaN,0,0,0,0,2.908726179,0,97.09127382,0,100,0,NaN,NaN,NaN,NaN,100,94.48345035,5.516549649,0.3,0,100,NaN,NaN,2.857142857,NaN,97.14285714,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
moderate,always,0,RUST-NoRec,4,96.87814703,3.121852971,192.5755722,100,0.7,7,99.3,98.57142857,98.57142857,NaN,1.428571429,NaN,98.57142857,NaN,NaN,NaN,NaN,0,0,0,0,3.121852971,0,96.87814703,0,100,0,NaN,NaN,NaN,NaN,100,92.64853978,7.351460222,0.7,0,100,NaN,NaN,1.428571429,NaN,98.57142857,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
moderate,always,0,RUST-NoRec,5,96.25884732,3.741152679,195.2839237,100,1.1,11,98.9,98.57142857,98.57142857,NaN,1.428571429,NaN,98.57142857,NaN,NaN,NaN,NaN,0,0,0,0,3.741152679,0,96.25884732,0,100,0,NaN,NaN,NaN,NaN,100,92.31547017,7.684529828,1.1,0,100,NaN,NaN,1.428571429,NaN,98.57142857,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
moderate,always,0,RUST-NoRec,6,97.68145161,2.318548387,195.1240717,100,0.8,8,99.2,100,100,NaN,0,NaN,100,NaN,NaN,NaN,NaN,0,0,0,0,2.318548387,0,97.68145161,0,100,0,NaN,NaN,NaN,NaN,100,94.15322581,5.846774194,0.8,0,100,NaN,NaN,0,NaN,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
moderate,always,0,RUST-NoRec,7,96.86234818,3.137651822,197.3420031,100,1.2,12,98.8,100,100,NaN,0,NaN,100,NaN,NaN,NaN,NaN,0,0,0,0,3.137651822,0,96.86234818,0,100,0,NaN,NaN,NaN,NaN,100,93.82591093,6.174089069,1.2,0,100,NaN,NaN,0,NaN,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
moderate,always,0,RUST-NoRec,8,98.08467742,1.915322581,200.5927554,100,0.8,8,99.2,100,100,NaN,0,NaN,100,NaN,NaN,NaN,NaN,0,0,0,0,1.915322581,0,98.08467742,0,100,0,NaN,NaN,NaN,NaN,100,93.5483871,6.451612903,0.8,0,100,NaN,NaN,0,NaN,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
moderate,always,0,RUST-NoRec,9,96.26639758,3.733602422,195.4442047,100,0.9,9,99.1,100,100,NaN,0,NaN,100,NaN,NaN,NaN,NaN,0,0,0,0,3.733602422,0,96.26639758,0,100,0,NaN,NaN,NaN,NaN,100,90.91826438,9.081735621,0.9,0,100,NaN,NaN,0,NaN,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
moderate,always,0,RUST-NoRec,10,96.77093845,3.229061554,195.9044049,100,0.9,9,99.1,98.57142857,98.57142857,NaN,1.428571429,NaN,98.57142857,NaN,NaN,NaN,NaN,0,0,0,0,3.229061554,0,96.77093845,0,100,0,NaN,NaN,NaN,NaN,100,92.23007064,7.769929364,0.9,0,100,NaN,NaN,1.428571429,NaN,98.57142857,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
moderate,always,0,RUST-NoTier,1,96.8495935,3.150406504,197.5050836,100,1.6,16,98.4,100,100,NaN,0,NaN,100,NaN,NaN,NaN,NaN,0,0,0,0,3.150406504,0,96.8495935,0,100,0,NaN,NaN,NaN,NaN,100,87.5,12.5,1.6,0,100,NaN,NaN,0,NaN,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
